date,league,season,country,home_team,away_team,match_result,home__is_shot_on_target_sum_avg,home__Shooting accuracy_avg,home__is_goal_sum_avg,home__is_inside_box_sum_avg,home__CROSS_sum_avg,home__PASS_ASSIST_sum_avg,home__CORNER_sum_avg,home__fast_break_sum_avg,away__is_shot_on_target_sum_avg,away__Shooting accuracy_avg,away__is_goal_sum_avg,away__is_inside_box_sum_avg,away__CROSS_sum_avg,away__PASS_ASSIST_sum_avg,away__CORNER_sum_avg,away__fast_break_sum_avg,goal_diff_avg,shot_on_target_diff_avg,shooting_accuracy_diff_avg,inside_box_diff_avg,cross_diff_avg,pass_assist_diff_avg,corner_diff_avg,fast_break_diff_avg
2011-08-20,F1,2012,france,Caen,Lille,-1.0,4.5,0.3974358974358974,1.5,4.0,1.5,8.0,0.0,0.0,6.0,0.3907563025210083,0.5,8.5,3.0,9.0,2.0,0.5,1.0,-1.5,0.00667959491488912,-4.5,-1.5,-1.0,-2.0,-0.5
2011-08-21,F1,2012,france,Montpellier,Stade Rennes,1.0,3.5,0.5,2.0,4.5,0.5,6.0,1.0,1.5,5.5,0.5416666666666667,3.0,8.5,1.5,6.5,1.0,0.5,-1.0,-2.0,-0.04166666666666674,-4.0,-1.0,-0.5,0.0,1.0
2011-08-21,D1,2012,germany,Hannover 96,Hertha Berlin,0.0,3.5,0.9,2.0,3.5,0.5,2.0,0.0,0.0,3.0,0.1875,1.0,5.5,2.0,4.5,2.5,0.0,1.0,0.5,0.7125,-2.0,-1.5,-2.5,-2.5,0.0
2011-08-21,F1,2012,france,AS Nancy Lorraine,Sochaux,-1.0,1.5,0.4333333333333333,0.5,2.5,1.0,3.5,0.0,0.5,5.5,0.6076923076923078,1.5,6.5,3.0,4.5,1.5,0.0,-1.0,-4.0,-0.17435897435897446,-4.0,-2.0,-1.0,-1.5,0.5
2011-08-21,F1,2012,france,Paris Saint-Germain,Valenciennes,1.0,3.5,0.5,0.5,3.5,1.0,5.0,0.5,0.0,6.0,0.606060606060606,0.0,6.5,5.0,3.5,1.0,0.0,0.5,-2.5,-0.10606060606060597,-3.0,-4.0,1.5,-0.5,0.0
2011-08-21,F1,2012,france,Marseille,St Etienne,0.0,5.0,0.3484848484848484,2.0,8.5,3.0,6.5,1.5,0.0,3.0,0.3068181818181817,1.5,7.5,3.0,5.0,0.5,0.0,0.5,2.0,0.041666666666666685,1.0,0.0,1.5,1.0,0.0
2011-08-21,D1,2012,germany,Mainz,Schalke 04,-1.0,6.0,0.6222222222222222,2.0,5.0,2.0,7.5,1.0,0.5,7.5,0.4595588235294117,2.5,11.5,6.0,7.5,1.0,0.0,-0.5,-1.5,0.16266339869281055,-6.5,-4.0,0.0,0.0,0.5
2011-08-26,D1,2012,germany,Hertha Berlin,VfB Stuttgart,1.0,3.333333333333333,0.2916666666666667,1.0,5.0,2.333333333333333,3.6666666666666665,2.333333333333333,0.0,4.333333333333333,0.3613053613053612,1.3333333333333333,7.333333333333333,2.6666666666666665,5.333333333333333,1.0,0.6666666666666666,-0.33333333333333326,-1.0,-0.06963869463869449,-2.333333333333333,-0.3333333333333335,-1.6666666666666665,1.333333333333333,-0.6666666666666666
2011-08-27,F1,2012,france,Lyon,Montpellier,1.0,8.5,0.6333333333333333,2.0,11.5,3.0,10.5,1.5,0.5,4.666666666666667,0.5454545454545454,2.6666666666666665,5.666666666666667,1.0,5.333333333333333,1.0,1.0,-0.6666666666666665,3.833333333333333,0.08787878787878789,5.833333333333333,2.0,5.166666666666667,0.5,-0.5
2011-08-27,F1,2012,france,Valenciennes,Bordeaux,-1.0,5.333333333333333,0.5521885521885522,0.3333333333333333,6.0,4.0,3.6666666666666665,0.6666666666666666,0.0,5.0,0.5727513227513228,1.0,7.333333333333333,2.333333333333333,7.0,0.3333333333333333,0.0,-0.6666666666666667,0.33333333333333304,-0.02056277056277056,-1.333333333333333,1.666666666666667,-3.3333333333333335,0.3333333333333333,0.0
2011-08-27,D1,2012,germany,Nurnberg,FC Augsburg,1.0,5.0,0.5037878787878788,0.6666666666666666,7.0,3.333333333333333,4.0,1.3333333333333333,0.3333333333333333,4.666666666666667,0.4777777777777778,1.0,5.666666666666667,2.6666666666666665,5.333333333333333,0.3333333333333333,0.6666666666666666,-0.33333333333333337,0.33333333333333304,0.026010101010100983,1.333333333333333,0.6666666666666665,-1.333333333333333,1.0,-0.3333333333333333
